Date,regionid
2015-04-06,VIC1
2015-04-06,WA1
2015-04-07,TAS1
2015-04-25,ACT1
2015-04-25,NSW1
2015-04-25,NT1
2015-04-25,QLD1
2015-04-25,SA1
2015-04-25,TAS1
2015-04-25,VIC1
2015-04-25,WA1
2015-04-27,WA1
2015-05-04,NT1
2015-06-01,WA1
2015-06-08,ACT1
2015-06-08,NSW1
2015-06-08,NT1
2015-06-08,QLD1
2015-06-08,SA1
2015-06-08,TAS1
2015-06-08,VIC1
2015-08-03,NT1
2015-09-28,ACT1
2015-09-28,WA1
2015-10-02,VIC1
2015-10-05,ACT1
2015-10-05,NSW1
2015-10-05,QLD1
2015-10-05,SA1
2015-11-03,VIC1
2015-12-24,SA1
2015-12-25,ACT1
2015-12-25,NSW1
2015-12-25,NT1
2015-12-25,QLD1
2015-12-25,SA1
2015-12-25,TAS1
2015-12-25,VIC1
2015-12-25,WA1
2015-12-28,ACT1
2015-12-28,NSW1
2015-12-28,NT1
2015-12-28,QLD1
2015-12-28,SA1
2015-12-28,TAS1
2015-12-28,VIC1
2015-12-31,SA1
2016-01-01,ACT1
2016-01-01,NSW1
2016-01-01,NT1
2016-01-01,QLD1
2016-01-01,SA1
2016-01-01,TAS1
2016-01-01,VIC1
2016-01-01,WA1
2016-01-26,ACT1
2016-01-26,NSW1
2016-01-26,NT1
2016-01-26,QLD1
2016-01-26,SA1
2016-01-26,TAS1
2016-01-26,VIC1
2016-01-26,WA1
2016-03-07,WA1
2016-03-14,ACT1
2016-03-14,SA1
2016-03-14,TAS1
2016-03-14,VIC1
2016-03-25,ACT1
2016-03-25,NSW1
2016-03-25,NT1
2016-03-25,QLD1
2016-03-25,SA1
2016-03-25,TAS1
2016-03-25,VIC1
2016-03-25,WA1
2016-03-26,ACT1
2016-03-26,NSW1
2016-03-26,NT1
2016-03-26,QLD1
2016-03-26,SA1
2016-03-26,VIC1
2016-03-27,ACT1
2016-03-27,NSW1
2016-03-27,VIC1
2016-03-28,ACT1
2016-03-28,NSW1
2016-03-28,NT1
2016-03-28,QLD1
2016-03-28,SA1
2016-03-28,TAS1
2016-03-28,VIC1
2016-03-28,WA1
2016-04-25,ACT1
2016-04-25,NSW1
2016-04-25,NT1
2016-04-25,QLD1
2016-04-25,SA1
2016-04-25,TAS1
2016-04-25,VIC1
2016-04-25,WA1
2016-05-02,NT1
2016-05-02,QLD1
2016-06-06,WA1
2016-06-13,ACT1
2016-06-13,NSW1
2016-06-13,NT1
2016-06-13,SA1
2016-06-13,TAS1
2016-06-13,VIC1
2016-08-01,NT1
2016-09-26,ACT1
2016-09-26,WA1
2016-09-30,VIC1
2016-10-03,ACT1
2016-10-03,NSW1
2016-10-03,QLD1
2016-10-03,SA1
2016-11-01,VIC1
2016-12-24,SA1
2016-12-25,ACT1
2016-12-25,NSW1
2016-12-25,NT1
2016-12-25,QLD1
2016-12-25,SA1
2016-12-25,TAS1
2016-12-25,VIC1
2016-12-25,WA1
2016-12-26,ACT1
2016-12-26,NSW1
2016-12-26,NT1
2016-12-26,QLD1
2016-12-26,SA1
2016-12-26,TAS1
2016-12-26,VIC1
2016-12-26,WA1
2016-12-27,ACT1
2016-12-27,NSW1
2016-12-27,NT1
2016-12-27,QLD1
2016-12-27,SA1
2016-12-27,TAS1
2016-12-27,VIC1
2016-12-27,WA1
2016-12-31,SA1
2017-01-01,ACT1
2017-01-01,NSW1
2017-01-01,NT1
2017-01-01,QLD1
2017-01-01,SA1
2017-01-01,TAS1
2017-01-01,VIC1
2017-01-01,WA1
2017-01-02,ACT1
2017-01-02,NSW1
2017-01-02,NT1
2017-01-02,QLD1
2017-01-02,SA1
2017-01-02,TAS1
2017-01-02,VIC1
2017-01-02,WA1
2017-01-26,ACT1
2017-01-26,NSW1
2017-01-26,NT1
2017-01-26,QLD1
2017-01-26,SA1
2017-01-26,TAS1
2017-01-26,VIC1
2017-01-26,WA1
2017-02-12,TAS1
2017-03-06,WA1
2017-03-13,ACT1
2017-03-13,SA1
2017-03-13,TAS1
2017-03-13,VIC1
2017-04-14,ACT1
2017-04-14,NSW1
2017-04-14,NT1
2017-04-14,QLD1
2017-04-14,SA1
2017-04-14,TAS1
2017-04-14,VIC1
2017-04-14,WA1
2017-04-15,ACT1
2017-04-15,NSW1
2017-04-15,NT1
2017-04-15,QLD1
2017-04-15,SA1
2017-04-15,VIC1
2017-04-16,ACT1
2017-04-16,NSW1
2017-04-16,QLD1
2017-04-16,VIC1
2017-04-17,ACT1
2017-04-17,NSW1
2017-04-17,NT1
2017-04-17,QLD1
2017-04-17,SA1
2017-04-17,TAS1
2017-04-17,VIC1
2017-04-17,WA1
2017-04-18,TAS1
2017-04-25,ACT1
2017-04-25,NSW1
2017-04-25,NT1
2017-04-25,QLD1
2017-04-25,SA1
2017-04-25,TAS1
2017-04-25,VIC1
2017-04-25,WA1
2017-05-01,NT1
2017-05-01,QLD1
2017-06-05,WA1
2017-06-12,ACT1
2017-06-12,NSW1
2017-06-12,NT1
2017-06-12,SA1
2017-06-12,TAS1
2017-06-12,VIC1
2017-08-07,NSW1
2017-08-07,NT1
2017-09-25,ACT1
2017-09-25,WA1
2017-09-29,VIC1
2017-10-02,ACT1
2017-10-02,NSW1
2017-10-02,QLD1
2017-10-02,SA1
2017-11-06,TAS1
2017-11-07,VIC1
2017-12-24,NT1
2017-12-24,SA1
2017-12-25,ACT1
2017-12-25,NSW1
2017-12-25,NT1
2017-12-25,QLD1
2017-12-25,SA1
2017-12-25,TAS1
2017-12-25,VIC1
2017-12-25,WA1
2017-12-26,ACT1
2017-12-26,NSW1
2017-12-26,NT1
2017-12-26,QLD1
2017-12-26,SA1
2017-12-26,TAS1
2017-12-26,VIC1
2017-12-26,WA1
2017-12-31,NT1
2017-12-31,SA1
2018-01-01,ACT1
2018-01-01,NSW1
2018-01-01,NT1
2018-01-01,QLD1
2018-01-01,SA1
2018-01-01,TAS1
2018-01-01,VIC1
2018-01-01,WA1
2018-01-26,ACT1
2018-01-26,NSW1
2018-01-26,NT1
2018-01-26,QLD1
2018-01-26,SA1
2018-01-26,TAS1
2018-01-26,VIC1
2018-01-26,WA1
2018-02-12,TAS1
2018-03-05,WA1
2018-03-12,ACT1
2018-03-12,SA1
2018-03-12,TAS1
2018-03-12,VIC1
2018-03-30,ACT1
2018-03-30,NSW1
2018-03-30,NT1
2018-03-30,QLD1
2018-03-30,SA1
2018-03-30,TAS1
2018-03-30,VIC1
2018-03-30,WA1
2018-03-31,ACT1
2018-03-31,NSW1
2018-03-31,NT1
2018-03-31,QLD1
2018-03-31,SA1
2018-03-31,VIC1
2018-04-01,ACT1
2018-04-01,NSW1
2018-04-01,QLD1
2018-04-01,VIC1
2018-04-02,ACT1
2018-04-02,NSW1
2018-04-02,NT1
2018-04-02,QLD1
2018-04-02,SA1
2018-04-02,TAS1
2018-04-02,VIC1
2018-04-02,WA1
2018-04-25,ACT1
2018-04-25,NSW1
2018-04-25,NT1
2018-04-25,QLD1
2018-04-25,SA1
2018-04-25,TAS1
2018-04-25,VIC1
2018-04-25,WA1
2018-05-07,NT1
2018-05-07,QLD1
2018-05-28,ACT1
2018-06-04,WA1
2018-06-11,ACT1
2018-06-11,NSW1
2018-06-11,NT1
2018-06-11,SA1
2018-06-11,TAS1
2018-06-11,VIC1
2018-08-06,NSW1
2018-08-06,NT1
2018-09-24,WA1
2018-09-28,VIC1
2018-10-01,ACT1
2018-10-01,NSW1
2018-10-01,QLD1
2018-10-01,SA1
2018-11-05,TAS1
2018-11-06,VIC1
2018-12-24,NT1
2018-12-24,SA1
2018-12-25,ACT1
2018-12-25,NSW1
2018-12-25,NT1
2018-12-25,QLD1
2018-12-25,SA1
2018-12-25,TAS1
2018-12-25,VIC1
2018-12-25,WA1
2018-12-26,ACT1
2018-12-26,NSW1
2018-12-26,NT1
2018-12-26,QLD1
2018-12-26,SA1
2018-12-26,TAS1
2018-12-26,VIC1
2018-12-26,WA1
2018-12-31,NT1
2018-12-31,SA1
2019-01-01,ACT1
2019-01-01,NSW1
2019-01-01,NT1
2019-01-01,QLD1
2019-01-01,SA1
2019-01-01,TAS1
2019-01-01,VIC1
2019-01-01,WA1
2019-01-28,ACT1
2019-01-28,NSW1
2019-01-28,NT1
2019-01-28,QLD1
2019-01-28,SA1
2019-01-28,TAS1
2019-01-28,VIC1
2019-01-28,WA1
2019-02-11,TAS1
2019-03-04,WA1
2019-03-11,ACT1
2019-03-11,SA1
2019-03-11,TAS1
2019-03-11,VIC1
2019-04-19,ACT1
2019-04-19,NSW1
2019-04-19,NT1
2019-04-19,QLD1
2019-04-19,SA1
2019-04-19,TAS1
2019-04-19,VIC1
2019-04-19,WA1
2019-04-20,ACT1
2019-04-20,NSW1
2019-04-20,NT1
2019-04-20,QLD1
2019-04-20,SA1
2019-04-20,VIC1
2019-04-21,ACT1
2019-04-21,NSW1
2019-04-21,QLD1
2019-04-21,VIC1
2019-04-22,ACT1
2019-04-22,NSW1
2019-04-22,NT1
2019-04-22,QLD1
2019-04-22,SA1
2019-04-22,TAS1
2019-04-22,VIC1
2019-04-22,WA1
2019-04-23,TAS1
2019-04-25,ACT1
2019-04-25,NSW1
2019-04-25,NT1
2019-04-25,QLD1
2019-04-25,SA1
2019-04-25,TAS1
2019-04-25,VIC1
2019-04-25,WA1
2019-05-06,NT1
2019-05-06,QLD1
2019-05-27,ACT1
2019-06-03,WA1
2019-06-10,ACT1
2019-06-10,NSW1
2019-06-10,NT1
2019-06-10,SA1
2019-06-10,TAS1
2019-06-10,VIC1
2019-08-05,NT1
2019-08-06,NSW1
2019-09-27,VIC1
2019-09-30,WA1
2019-10-07,ACT1
2019-10-07,NSW1
2019-10-07,QLD1
2019-10-07,SA1
2019-11-05,VIC1
2019-12-24,NT1
2019-12-24,SA1
2019-12-25,ACT1
2019-12-25,NSW1
2019-12-25,NT1
2019-12-25,QLD1
2019-12-25,SA1
2019-12-25,TAS1
2019-12-25,VIC1
2019-12-25,WA1
2019-12-26,ACT1
2019-12-26,NSW1
2019-12-26,NT1
2019-12-26,QLD1
2019-12-26,SA1
2019-12-26,TAS1
2019-12-26,VIC1
2019-12-26,WA1
2019-12-31,NT1
2019-12-31,SA1
2020-01-01,ACT1
2020-01-01,NSW1
2020-01-01,NT1
2020-01-01,QLD1
2020-01-01,SA1
2020-01-01,TAS1
2020-01-01,VIC1
2020-01-01,WA1
2020-01-26,SA1
2020-01-27,ACT1
2020-01-27,NSW1
2020-01-27,NT1
2020-01-27,QLD1
2020-01-27,SA1
2020-01-27,TAS1
2020-01-27,VIC1
2020-01-27,WA1
2020-03-02,WA1
2020-03-09,ACT1
2020-03-09,SA1
2020-03-09,TAS1
2020-03-09,VIC1
2020-04-10,ACT1
2020-04-10,NSW1
2020-04-10,NT1
2020-04-10,QLD1
2020-04-10,SA1
2020-04-10,TAS1
2020-04-10,VIC1
2020-04-10,WA1
2020-04-11,ACT1
2020-04-11,NSW1
2020-04-11,NT1
2020-04-11,QLD1
2020-04-11,SA1
2020-04-11,VIC1
2020-04-12,ACT1
2020-04-12,NSW1
2020-04-12,QLD1
2020-04-12,VIC1
2020-04-13,ACT1
2020-04-13,NSW1
2020-04-13,NT1
2020-04-13,QLD1
2020-04-13,SA1
2020-04-13,TAS1
2020-04-13,VIC1
2020-04-13,WA1
2020-04-14,TAS1
2020-04-25,ACT1
2020-04-25,NSW1
2020-04-25,NT1
2020-04-25,QLD1
2020-04-25,SA1
2020-04-25,TAS1
2020-04-25,VIC1
2020-04-25,WA1
2020-04-27,ACT1
2020-04-27,WA1
2020-05-04,NT1
2020-05-04,QLD1
2020-06-01,ACT1
2020-06-01,WA1
2020-06-08,ACT1
2020-06-08,NSW1
2020-06-08,NT1
2020-06-08,SA1
2020-06-08,TAS1
2020-06-08,VIC1
2020-08-03,NSW1
2020-08-03,NT1
2020-09-28,WA1
2020-10-05,ACT1
2020-10-05,NSW1
2020-10-05,QLD1
2020-10-05,SA1
2020-10-23,VIC1
2020-11-03,VIC1
2020-12-24,NT1
2020-12-24,QLD1
2020-12-24,SA1
2020-12-25,ACT1
2020-12-25,NSW1
2020-12-25,NT1
2020-12-25,QLD1
2020-12-25,SA1
2020-12-25,TAS1
2020-12-25,VIC1
2020-12-25,WA1
2020-12-26,ACT1
2020-12-26,NSW1
2020-12-26,QLD1
2020-12-26,VIC1
2020-12-26,WA1
2020-12-28,ACT1
2020-12-28,NSW1
2020-12-28,NT1
2020-12-28,QLD1
2020-12-28,SA1
2020-12-28,TAS1
2020-12-28,VIC1
2020-12-28,WA1
2020-12-31,NT1
2020-12-31,SA1
2021-01-01,ACT1
2021-01-01,NSW1
2021-01-01,NT1
2021-01-01,QLD1
2021-01-01,SA1
2021-01-01,TAS1
2021-01-01,VIC1
2021-01-01,WA1
2021-01-26,ACT1
2021-01-26,NSW1
2021-01-26,NT1
2021-01-26,QLD1
2021-01-26,SA1
2021-01-26,TAS1
2021-01-26,VIC1
2021-01-26,WA1
