d,regionid,sun_hours
2013-02-23,SA1,10.961404588055554
2013-02-24,QLD1,11.228767310555554
2013-02-24,NSW1,11.031348577777777
2013-02-24,VIC1,10.894585507777778
2013-02-24,TAS1,10.690697816666667
2013-02-24,SA1,10.99715355861111
2013-02-25,QLD1,11.255410332222223
2013-02-25,NSW1,11.065813215833334
2013-02-25,VIC1,10.93448919138889
2013-02-25,TAS1,10.738668063333332
2013-02-25,SA1,11.033024509166665
2013-02-26,QLD1,11.282144628888888
2013-02-26,NSW1,11.100388804444444
2013-02-26,VIC1,10.974514116944444
2013-02-26,TAS1,10.786769188333334
2013-02-26,SA1,11.069009094166667
2013-02-27,QLD1,11.308963961666667
2013-02-27,NSW1,11.135067510277779
2013-02-27,VIC1,11.014651454166668
2013-02-27,TAS1,10.83499108472222
2013-02-27,SA1,11.10509922027778
2013-02-28,QLD1,11.335862264722222
2013-02-28,NSW1,11.169841732222222
2013-02-28,VIC1,11.054892651944444
2013-02-28,TAS1,10.883324
2013-02-28,SA1,11.141287039166667
2013-03-01,QLD1,11.362833637222222
2013-03-01,NSW1,11.204704094166665
2013-03-01,VIC1,11.095229428055557
2013-03-01,TAS1,10.931758520555555
2013-03-01,SA1,11.177564938055555
2013-03-02,QLD1,11.389872338888889
2013-03-02,NSW1,11.23964743638889
2013-03-02,VIC1,11.135653756666667
2013-03-02,TAS1,10.980285556388889
2013-03-02,SA1,11.213925530000001
2013-03-03,QLD1,11.416972782499998
2013-03-03,NSW1,11.27466480472222
2013-03-03,VIC1,11.176157860555554
2013-03-03,TAS1,11.028896328333333
2013-03-03,SA1,11.250361644166667
2013-03-04,QLD1,11.444129528055557
2013-03-04,NSW1,11.309749443333333
2013-03-04,VIC1,11.216734195555556
2013-03-04,TAS1,11.077582350833334
2013-03-04,SA1,11.286866316666666
2013-03-05,QLD1,11.471337276666667
2013-03-05,NSW1,11.344894784722223
2013-03-05,VIC1,11.257375443055555
2013-03-05,TAS1,11.126335419166667
2013-03-05,SA1,11.323432781388888
2013-03-06,QLD1,11.498590861944445
2013-03-06,NSW1,11.380094439999999
2013-03-06,VIC1,11.298074496111111
2013-03-06,TAS1,11.1751475925
2013-03-06,SA1,11.360054458611112
2013-03-07,QLD1,11.525885244722222
2013-03-07,NSW1,11.415342190833334
2013-03-07,VIC1,11.338824448055556
2013-03-07,TAS1,11.224011179444444
2013-03-07,SA1,11.396724946388888
2013-03-08,QLD1,11.553215506388888
2013-03-08,NSW1,11.450631976944443
2013-03-08,VIC1,11.379618581944445
2013-03-08,TAS1,11.272918724166665
2013-03-08,SA1,11.43343800861111
2013-03-09,QLD1,11.580576840277779
2013-03-09,NSW1,11.48595789
2013-03-09,VIC1,11.420450358333333
2013-03-09,TAS1,11.321862989722224
2013-03-09,SA1,11.470187567222222
2013-03-10,QLD1,11.607964546111111
2013-03-10,NSW1,11.521314161666666
2013-03-10,VIC1,11.461313403611111
2013-03-10,TAS1,11.370836943333332
2013-03-10,SA1,11.506967690555555
2013-03-11,QLD1,11.635374021666667
2013-03-11,NSW1,11.556695153888889
2013-03-11,VIC1,11.502201496666668
2013-03-11,TAS1,11.419833741944444
2013-03-11,SA1,11.543772583055555
2013-03-12,QLD1,11.6628007575
2013-03-12,NSW1,11.592095350555555
2013-03-12,VIC1,11.543108560277778
2013-03-12,TAS1,11.468846716388889
2013-03-12,SA1,11.580596574722222
2013-03-13,QLD1,11.6902403275
2013-03-13,NSW1,11.627509345555556
2013-03-13,VIC1,11.584028646666665
2013-03-13,TAS1,11.517869357499999
2013-03-13,SA1,11.617434113055555
2013-03-14,QLD1,11.717688382777778
2013-03-14,NSW1,11.662931836111111
2013-03-14,VIC1,11.624955926666667
2013-03-14,TAS1,11.566895300555556
2013-03-14,SA1,11.654279749722221
2013-03-15,QLD1,11.745140645277779
2013-03-15,NSW1,11.698357609444445
2013-03-15,VIC1,11.665884678611112
2013-03-15,TAS1,11.61591831
2013-03-15,SA1,11.691128131944444
2013-03-16,QLD1,11.7725929
2013-03-16,NSW1,11.733781536111112
2013-03-16,VIC1,11.70680927611111
2013-03-16,TAS1,11.664932266944444
2013-03-16,SA1,11.727973992777779
2013-03-17,QLD1,11.80004098638889
2013-03-17,NSW1,11.769198558333333
2013-03-17,VIC1,11.747724176111111
2013-03-17,TAS1,11.71393115138889
2013-03-17,SA1,11.76481214
2013-03-18,QLD1,11.827480793888888
2013-03-18,NSW1,11.80460368138889
2013-03-18,VIC1,11.788623908333333
2013-03-18,TAS1,11.762909030555555
2013-03-18,SA1,11.801637446388888
2013-03-19,QLD1,11.85490825277778
2013-03-19,NSW1,11.839991963888888
2013-03-19,VIC1,11.829503063333332
2013-03-19,TAS1,11.811860043888888
2013-03-19,SA1,11.838444839166668
2013-03-20,QLD1,11.882319328611112
2013-03-20,NSW1,11.875358507500001
2013-03-20,VIC1,11.870356280555557
2013-03-20,TAS1,11.860778386666668
2013-03-20,SA1,11.875229291111111
2013-03-21,QLD1,11.909710013333333
2013-03-21,NSW1,11.910698448611111
2013-03-21,VIC1,11.911178238333333
2013-03-21,TAS1,11.909658299444445
2013-03-21,SA1,11.911985809444444
2013-03-22,QLD1,11.937076320000001
2013-03-22,NSW1,11.946006948333332
2013-03-22,VIC1,11.951963641666666
2013-03-22,TAS1,11.958494051111112
2013-03-22,SA1,11.948709426666667
2013-03-23,QLD1,11.964414274722222
2013-03-23,NSW1,11.981279182222222
2013-03-23,VIC1,11.992707210555555
2013-03-23,TAS1,12.007279925833334
2013-03-23,SA1,11.985395189999998
2013-03-24,QLD1,11.991719910833334
2013-03-24,NSW1,12.016510333055555
2013-03-24,VIC1,12.033403671388887
2013-03-24,TAS1,12.05601021
2013-03-24,SA1,12.022038153055556
2013-03-25,QLD1,12.01898926138889
2013-03-25,NSW1,12.05169558
2013-03-25,VIC1,12.074047742777777
2013-03-25,TAS1,12.104679178055555
2013-03-25,SA1,12.058633364444445
2013-03-26,QLD1,12.046218352222223
2013-03-26,NSW1,12.086830090555555
2013-03-26,VIC1,12.114634127222223
2013-03-26,TAS1,12.153281078611112
2013-03-26,SA1,12.09517586
2013-03-27,QLD1,12.073403195
2013-03-27,NSW1,12.121909009444444
2013-03-27,VIC1,12.155157498888888
2013-03-27,TAS1,12.20181012111111
2013-03-27,SA1,12.131660651666667
2013-03-28,QLD1,12.1005397825
2013-03-28,NSW1,12.156927453333333
2013-03-28,VIC1,12.195612494444445
2013-03-28,TAS1,12.250260463055556
2013-03-28,SA1,12.168082719166666
2013-03-29,QLD1,12.127624079722223
2013-03-29,NSW1,12.191880498333333
2013-03-29,VIC1,12.235993700833333
2013-03-29,TAS1,12.298626196388888
2013-03-29,SA1,12.204437001666667
2013-03-30,QLD1,12.154652018055556
2013-03-30,NSW1,12.226763173611111
2013-03-30,VIC1,12.276295645277777
2013-03-30,TAS1,12.346901334166667
2013-03-30,SA1,12.240718385000001
2013-03-31,QLD1,12.181619490555555
2013-03-31,NSW1,12.261570452222223
2013-03-31,VIC1,12.316512787222223
2013-03-31,TAS1,12.395079798611112
2013-03-31,SA1,12.276921698055556
2013-04-01,QLD1,12.208522343055556
2013-04-01,NSW1,12.296297242222222
2013-04-01,VIC1,12.356639504444445
2013-04-01,TAS1,12.443155407222223
2013-04-01,SA1,12.313041699166666
2013-04-02,QLD1,12.23535637
2013-04-02,NSW1,12.330938378333334
2013-04-02,VIC1,12.396670086111111
2013-04-02,TAS1,12.491121861111111
2013-04-02,SA1,12.349073069444445
2013-04-03,QLD1,12.262117307777777
2013-04-03,NSW1,12.365488615
2013-04-03,VIC1,12.436598722222223
2013-04-03,TAS1,12.538972731944444
